n_by_len_uname,private,posts,followers,follows,fake
0.22,0,0,90,333,1
0.38,0,0,60,31,1
0.43,1,2,271,445,1
0.0,1,3,1,80,1
0.5,1,13,158,309,1
0.31,0,0,39,64,1
0.22,1,1,0,11,1
0.0,1,0,0,853,1
0.25,1,10,0,23,1
0.0,0,0,12,5,1
0.33,0,0,10,18,1
0.33,1,0,1,34,1
0.0,0,0,1,8,1
0.0,1,0,0,0,1
0.12,1,0,31,213,1
0.18,1,0,5,10,1
0.5,1,5,18,58,1
0.5,1,0,12,77,1
0.5,1,0,6,37,1
0.57,0,0,47,10,1
0.45,0,0,33,4,1
0.5,1,141,4,279,1
0.57,1,6,5,15,1
0.0,1,1,0,44,1
0.44,1,0,5,17,1
0.0,1,1,107,42,1
0.88,1,39,8,60,1
0.0,0,0,48,6,1
0.22,1,9,2,215,1
0.0,1,0,51,126,1
0.0,1,21,5,48,1
0.0,1,0,0,802,1
0.55,0,0,26,46,1
0.07,1,0,0,601,1
0.8,1,3,76,168,1
0.0,1,0,165,689,1
0.0,0,0,115,230,1
0.31,0,0,6,15,1
0.4,0,0,24,49,1
0.33,1,0,40,236,1
0.0,1,6,32,52,1
0.33,1,0,0,35,1
0.36,0,0,21,44,1
0.55,1,1,79,767,1
0.41,1,4,8,37,1
0.43,0,0,49,79,1
0.11,1,0,31,91,1
0.0,1,0,15,41,1
0.25,0,0,4,3,1
0.44,1,0,0,229,1
0.3,1,17,316,1165,1
0.1,1,0,0,0,1
0.0,0,1,3,1,1
0.0,0,0,2,30,1
0.29,1,7,221,244,1
0.0,0,13,181,935,1
0.0,1,0,9,167,1
0.67,0,0,2,0,1
0.31,1,0,25,86,1
0.0,0,5,26,129,1
0.89,1,124,15,305,1
0.0,0,9,59,48,1
0.2,1,5,7,47,1
0.12,1,2,40,179,1
0.0,0,0,51,41,1
0.0,0,150,133,750,1
0.0,1,29,25,39,1
0.18,1,108,864,3646,1
0.0,0,77,73,35,1
0.38,1,3,184,170,1
0.43,1,7,161,333,1
0.22,1,3,42,694,1
0.0,1,131,279,1124,1
0.0,0,40,219,155,1
0.24,1,4,18,106,1
0.44,1,84,106,171,1
0.5,1,299,34,108,1
0.0,0,11,42,26,1
0.16,1,0,1,13,1
0.89,1,0,38,68,1
0.58,1,1,34,44,1
0.29,1,4,23,151,1
0.3,1,0,23,37,1
0.5,0,0,83,139,1
0.4,0,0,25,28,1
0.0,1,3,13,38,1
0.25,0,0,64,60,1
0.36,0,0,90,69,1
0.33,0,0,82,6,1
0.0,0,0,140,319,1
0.36,1,0,0,29,1
0.3,1,1,51,420,1
0.12,0,7,38,87,1
0.33,1,3,21,733,1
0.38,1,0,5,121,1
0.4,1,0,21,45,1
0.57,1,5,124,249,1
0.22,1,0,5,56,1
0.38,1,1,2,16,1
0.64,0,0,42,46,1
0.33,1,12,48,45,1
0.31,0,0,32,25,1
0.0,1,0,0,71,1
0.25,0,0,0,0,1
0.12,1,1,10,104,1
0.38,1,92,19,31,1
0.31,1,0,138,99,1
0.2,1,0,11,157,1
0.0,1,0,1,64,1
0.42,0,0,39,40,1
0.0,0,21,446,1762,1
0.57,1,7,9,82,1
0.0,0,9,589,2980,1
0.06,0,0,27,63,1
0.0,0,14,143,500,1
0.0,1,0,0,177,1
0.0,1,0,0,130,1
0.21,0,3,124,135,1
0.07,1,0,12,192,1
0.42,0,0,16,36,1
0.21,0,1,1,2,1
0.38,0,1,120,181,1
0.0,1,0,0,71,1
0.0,0,1,26,8,1
0.14,0,0,57,167,1
0.15,0,1,13,22,1
0.0,0,28,1031,208,1
0.18,0,0,42,146,1
0.33,0,25,70,64,1
0.18,1,0,0,8,1
0.3,0,0,46,92,1
0.43,0,111,834,4118,1
0.0,1,2,389,392,1
0.33,0,0,43,221,1
0.33,1,0,23,40,1
0.0,1,0,5,82,1
0.71,1,0,4,25,1
0.5,0,0,17,44,1
0.25,1,5,182,227,1
0.33,0,10,108,304,1
0.5,0,3,43,123,1
0.29,0,19,77,8,1
0.09,0,0,32,87,1
0.25,1,0,0,11,1
0.13,1,8,40,66,1
0.33,0,2,53,303,1
0.14,0,10,67,90,1
0.0,0,29,122,336,1
0.0,0,0,18,49,1
0.4,1,0,24,88,1
0.0,0,2,35,136,1
0.4,1,3,119,151,1
0.1,1,5,6,24,1
0.43,0,0,34,26,1
0.0,0,63,272,295,1
0.44,0,1,53,137,1
0.33,1,4,818,618,1
0.0,0,34,82,74,1
0.38,0,0,40,233,1
0.4,1,0,21,76,1
0.33,0,6,59,38,1
0.12,0,2,102,109,1
0.29,1,7,576,474,1
0.57,0,0,19,16,1
0.0,1,0,66,161,1
0.0,1,5,310,894,1
0.0,1,0,16,17,1
0.0,0,0,15,4,1
0.07,1,0,47,98,1
0.0,0,4,88,61,1
0.27,1,1,51,59,1
0.0,0,26,505,2330,1
0.36,0,9,159,433,1
0.29,1,4,77,1269,1
0.83,0,4,61,76,1
0.67,1,0,7,14,1
0.38,1,0,11,60,1
0.58,0,0,49,22,1
0.0,0,0,15,595,1
0.2,0,1,1,9,1
0.0,0,0,17,1,1
0.29,0,0,15,1,1
0.25,0,28,358,1990,1
0.25,0,0,20,7,1
0.0,0,1,50,32,1
0.0,0,0,57,76,1
0.31,0,2,12,15,1
0.67,0,2,218,792,1
0.33,0,9,78,98,1
0.47,0,1,16,23,1
0.36,0,8,39,17,1
0.0,0,0,15,1,1
0.4,0,0,30,48,1
0.33,0,0,85,638,1
0.33,0,0,77,747,1
